group_id,source_id,source_title,source_type,source_link_or_reference,reason_for_use
20,S001,career anxiety,website,www.lightonanxiety.com,Used to collect questions and answers related to career anxiety
20,S002,career anxiety,website,https://canadacareercounselling.com,Used to collect information related to career anxiety causes stress burnout and career decision making.
20,S003,Career Anxiety Management Article,website,www.linkedin.com/pulse/career-anxiety-what-14-ways-manage-simplilearn-qv8xc,Used to collect information about causes of career anxiety and practical coping strategies.
20,S004,Career Anxiety in Students,website,https://www.apa.org,Used to collect information about career myths student anxiety and career decision making.
20,S005,Career Anxiety and Workplace Stress,website,https://www.forbes.com/sites/tracybrower/2023/01/29/how-to-deal-with-career-anxiety/,Used to collect information about workplace pressure career uncertainty and coping strategies.
20,S006,Work Related Stress and Anxiety,website,https://www.mind.org.uk/information-support//,Used to collect information about emotional stress burnout workplace pressure and anxiety related to careers.
20,S007,Career Anxiety and Job Stress,website,https://kusnachtpractice.com//,Used to collect information about career anxiety workplace stress job dissatisfaction and coping strategies.
20,S008,Career Anxiety After Graduation,,https://www.mindler.com//,Used to collect information about career confusion job pressure support systems and anxiety after graduation.
